GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006730	one-carbon metabolic process	30	5	0.25	4.2e-06
2	GO:0042574	retinal metabolic process	4	2	0.03	0.00040
3	GO:0071732	cellular response to nitric oxide	6	2	0.05	0.00098
4	GO:0006068	ethanol catabolic process	6	2	0.05	0.00098
5	GO:0046168	glycerol-3-phosphate catabolic process	7	2	0.06	0.00137
6	GO:0006572	tyrosine catabolic process	7	2	0.06	0.00137
7	GO:0046185	aldehyde catabolic process	9	2	0.07	0.00232
8	GO:0006082	organic acid metabolic process	848	21	6.96	0.00297
9	GO:0045672	positive regulation of osteoclast differentiation	11	2	0.09	0.00351
10	GO:0006559	L-phenylalanine catabolic process	11	2	0.09	0.00351
11	GO:0022617	extracellular matrix disassembly	93	4	0.76	0.00726
12	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	16	2	0.13	0.00746
13	GO:0051049	regulation of transport	780	9	6.41	0.00812
14	GO:0030730	sequestering of triglyceride	6	2	0.05	0.00816
15	GO:0071584	negative regulation of zinc ion transmembrane import	1	1	0.01	0.00821
16	GO:0071585	detoxification of cadmium ion	1	1	0.01	0.00821
17	GO:0031887	lipid droplet transport along microtubule	1	1	0.01	0.00821
18	GO:0006542	glutamine biosynthetic process	1	1	0.01	0.00821
19	GO:0009691	cytokinin biosynthetic process	1	1	0.01	0.00821
20	GO:0015670	carbon dioxide transport	1	1	0.01	0.00821
21	GO:0010106	cellular response to iron ion starvation	1	1	0.01	0.00821
22	GO:0090281	negative regulation of calcium ion import	1	1	0.01	0.00821
23	GO:0051092	positive regulation of NF-kappaB transcription factor activity	53	3	0.44	0.00943
24	GO:0008152	metabolic process	13001	118	106.78	0.01256
25	GO:0015771	trehalose transport	2	1	0.02	0.01636
26	GO:0032849	positive regulation of cellular pH reduction	2	1	0.02	0.01636
27	GO:0009741	response to brassinosteroid	2	1	0.02	0.01636
28	GO:0009733	response to auxin	2	1	0.02	0.01636
29	GO:0045456	ecdysteroid biosynthetic process	2	1	0.02	0.01636
30	GO:0019483	beta-alanine biosynthetic process	2	1	0.02	0.01636
