GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005811	lipid droplet	29	4	0.24	8.8e-05
2	GO:0070062	extracellular exosome	640	14	5.25	0.00079
3	GO:0005689	U12-type spliceosomal complex	15	2	0.12	0.00655
4	GO:0005789	endoplasmic reticulum membrane	612	11	5.02	0.01212
5	GO:0032591	dendritic spine membrane	2	1	0.02	0.01635
6	GO:0030315	T-tubule	26	2	0.21	0.01912
7	GO:0005604	basement membrane	198	5	1.63	0.02376
8	GO:0002133	polycystin complex	3	1	0.02	0.02443
9	GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	3	1	0.02	0.02443
10	GO:0030018	Z disc	79	3	0.65	0.02723
11	GO:0031673	H zone	4	1	0.03	0.03244
12	GO:0005615	extracellular space	1131	22	9.29	0.03514
13	GO:0005589	collagen type VI trimer	5	1	0.04	0.04039
14	GO:0060053	neurofilament cytoskeleton	5	1	0.04	0.04039
15	GO:0097386	glial cell projection	6	1	0.05	0.04827
16	GO:0005921	gap junction	6	1	0.05	0.04827
17	GO:0016600	flotillin complex	7	1	0.06	0.05609
18	GO:0005902	microvillus	67	3	0.55	0.05843
19	GO:0097443	sorting endosome	8	1	0.07	0.06384
20	GO:0048188	Set1C/COMPASS complex	8	1	0.07	0.06384
21	GO:0043240	Fanconi anaemia nuclear complex	8	1	0.07	0.06384
22	GO:0009941	chloroplast envelope	9	1	0.07	0.07153
23	GO:0016323	basolateral plasma membrane	117	3	0.96	0.07179
24	GO:0031526	brush border membrane	55	2	0.45	0.07497
25	GO:0043204	perikaryon	58	2	0.48	0.08216
26	GO:0035371	microtubule plus-end	11	1	0.09	0.08672
27	GO:0033391	chromatoid body	11	1	0.09	0.08672
28	GO:0008305	integrin complex	11	1	0.09	0.08672
29	GO:0098588	bounding membrane of organelle	1764	15	14.48	0.09949
30	GO:0016460	myosin II complex	13	1	0.11	0.10167
31	GO:0045177	apical part of cell	277	4	2.27	0.10451
32	GO:0030056	hemidesmosome	14	1	0.11	0.10905
33	GO:0043034	costamere	15	1	0.12	0.11637
34	GO:0001917	photoreceptor inner segment	15	1	0.12	0.11637
35	GO:0016328	lateral plasma membrane	18	1	0.15	0.13798
36	GO:0009925	basal plasma membrane	136	4	1.12	0.14303
37	GO:0031528	microvillus membrane	19	1	0.16	0.14507
38	GO:0001725	stress fiber	19	1	0.16	0.14507
39	GO:0005635	nuclear envelope	314	4	2.58	0.15699
40	GO:0001527	microfibril	23	1	0.19	0.17283
41	GO:0005903	brush border	79	3	0.65	0.17777
42	GO:0005882	intermediate filament	24	1	0.2	0.17963
43	GO:0035631	CD40 receptor complex	24	1	0.2	0.17963
44	GO:0032579	apical lamina of hyaline layer	24	1	0.2	0.17963
45	GO:0005581	collagen trimer	187	4	1.54	0.18583
46	GO:0071339	MLL1 complex	26	1	0.21	0.19307
47	GO:0014704	intercalated disc	27	1	0.22	0.19971
48	GO:0005576	extracellular region	2497	35	20.5	0.20561
49	GO:0005759	mitochondrial matrix	198	4	1.63	0.20870
50	GO:0031430	M band	30	1	0.25	0.21929
51	GO:0045121	membrane raft	156	4	1.28	0.22442
52	GO:0014069	postsynaptic density	109	2	0.89	0.22537
53	GO:0005881	cytoplasmic microtubule	33	1	0.27	0.23840
54	GO:0015630	microtubule cytoskeleton	1024	9	8.41	0.23863
55	GO:0005746	mitochondrial respirasome	34	1	0.28	0.24466
56	GO:0005791	rough endoplasmic reticulum	34	1	0.28	0.24466
57	GO:0031012	extracellular matrix	604	11	4.96	0.25372
58	GO:0031594	neuromuscular junction	36	1	0.3	0.25704
59	GO:0005777	peroxisome	120	2	0.99	0.25877
60	GO:0005829	cytosol	1302	13	10.69	0.27145
61	GO:0005901	caveola	46	2	0.38	0.27361
62	GO:0005858	axonemal dynein complex	39	1	0.32	0.27523
63	GO:0030054	cell junction	1010	8	8.29	0.28078
64	GO:0016529	sarcoplasmic reticulum	40	1	0.33	0.28120
65	GO:0097060	synaptic membrane	284	3	2.33	0.28711
66	GO:0042995	cell projection	1333	15	10.94	0.29200
67	GO:0005796	Golgi lumen	44	1	0.36	0.30457
68	GO:0005758	mitochondrial intermembrane space	46	1	0.38	0.31598
69	GO:0005868	cytoplasmic dynein complex	47	1	0.39	0.32161
70	GO:0036064	ciliary basal body	47	1	0.39	0.32161
71	GO:0043202	lysosomal lumen	50	1	0.41	0.33823
72	GO:1990104	DNA bending complex	51	1	0.42	0.34368
73	GO:0000786	nucleosome	51	1	0.42	0.34368
74	GO:0005737	cytoplasm	8512	77	69.89	0.35476
75	GO:0005938	cell cortex	332	4	2.73	0.36060
76	GO:0042383	sarcolemma	87	3	0.71	0.39175
77	GO:0005774	vacuolar membrane	296	3	2.43	0.40551
78	GO:0043679	axon terminus	63	1	0.52	0.40571
79	GO:0009898	cytoplasmic side of plasma membrane	64	1	0.53	0.41060
80	GO:0005764	lysosome	435	5	3.57	0.41902
81	GO:0042151	nematocyst	71	1	0.58	0.44379
82	GO:0005643	nuclear pore	75	1	0.62	0.46191
83	GO:0031965	nuclear membrane	191	2	1.57	0.46657
84	GO:0009897	external side of plasma membrane	80	1	0.66	0.48374
85	GO:0016605	PML body	82	1	0.67	0.49222
86	GO:0005840	ribosome	205	2	1.68	0.50371
87	GO:0046930	pore complex	86	1	0.71	0.50878
88	GO:0016324	apical plasma membrane	210	2	1.72	0.51657
89	GO:0030424	axon	360	3	2.96	0.53245
90	GO:0005741	mitochondrial outer membrane	96	1	0.79	0.54786
91	GO:0005765	lysosomal membrane	231	2	1.9	0.56813
92	GO:0005819	spindle	340	2	2.79	0.57594
93	GO:0005743	mitochondrial inner membrane	295	3	2.42	0.63188
94	GO:0031252	cell leading edge	250	2	2.05	0.64758
95	GO:0009986	cell surface	367	3	3.01	0.68451
96	GO:0005788	endoplasmic reticulum lumen	145	1	1.19	0.69902
97	GO:0005783	endoplasmic reticulum	1100	16	9.03	0.70184
98	GO:0005856	cytoskeleton	1631	12	13.39	0.70807
99	GO:0005875	microtubule associated complex	242	2	1.99	0.71769
100	GO:0005929	cilium	426	4	3.5	0.72208
101	GO:0005667	transcription regulator complex	163	1	1.34	0.74089
102	GO:0005769	early endosome	163	1	1.34	0.74089
103	GO:0005874	microtubule	367	4	3.01	0.74679
104	GO:0005886	plasma membrane	3188	28	26.18	0.75467
105	GO:0043005	neuron projection	725	6	5.95	0.77195
106	GO:0032991	protein-containing complex	3732	25	30.64	0.78356
107	GO:0016020	membrane	7010	57	57.56	0.79169
108	GO:0005794	Golgi apparatus	1049	5	8.61	0.80194
109	GO:0043025	neuronal cell body	256	3	2.1	0.80284
110	GO:0030496	midbody	201	1	1.65	0.81124
111	GO:0015629	actin cytoskeleton	295	2	2.42	0.83676
112	GO:0000922	spindle pole	237	1	1.95	0.86027
113	GO:0031410	cytoplasmic vesicle	1221	4	10.03	0.86292
114	GO:0045211	postsynaptic membrane	241	1	1.98	0.86487
