GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	29	4	0.24	9e-05
2	GO:0016802	trialkylsulfonium hydrolase activity	3	2	0.02	0.00020
3	GO:0004013	adenosylhomocysteinase activity	3	2	0.02	0.00020
4	GO:0050325	tauropine dehydrogenase activity	5	2	0.04	0.00066
5	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	5	2	0.04	0.00066
6	GO:0009055	electron transfer activity	75	5	0.62	0.00148
7	GO:0004089	carbonate dehydratase activity	9	2	0.07	0.00234
8	GO:0015035	protein-disulfide reductase activity	35	3	0.29	0.00296
9	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	11	2	0.09	0.00354
10	GO:0042605	peptide antigen binding	15	2	0.12	0.00660
11	GO:0004033	aldo-keto reductase (NADP) activity	8	2	0.07	0.00819
12	GO:0004351	glutamate decarboxylase activity	1	1	0.01	0.00824
13	GO:0004356	glutamine synthetase activity	1	1	0.01	0.00824
14	GO:0042134	rRNA primary transcript binding	1	1	0.01	0.00824
15	GO:0030729	acetoacetate-CoA ligase activity	1	1	0.01	0.00824
16	GO:0033878	hormone-sensitive lipase activity	1	1	0.01	0.00824
17	GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	1	1	0.01	0.00824
18	GO:0045503	dynein light chain binding	1	1	0.01	0.00824
19	GO:0003957	NAD(P)+ transhydrogenase (B-specific) activity	1	1	0.01	0.00824
20	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	1	1	0.01	0.00824
21	GO:0008470	isovaleryl-CoA dehydrogenase activity	1	1	0.01	0.00824
22	GO:0047323	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity	1	1	0.01	0.00824
23	GO:0003837	beta-ureidopropionase activity	1	1	0.01	0.00824
24	GO:0004846	urate oxidase activity	1	1	0.01	0.00824
25	GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	17	2	0.14	0.00846
26	GO:0004745	NAD-retinol dehydrogenase activity	21	2	0.17	0.01279
27	GO:0051287	NAD binding	63	3	0.52	0.01520
28	GO:0015175	neutral L-amino acid transmembrane transporter activity	23	2	0.19	0.01524
29	GO:0030882	lipid antigen binding	2	1	0.02	0.01642
30	GO:0004771	sterol esterase activity	2	1	0.02	0.01642
31	GO:0004451	isocitrate lyase activity	2	1	0.02	0.01642
32	GO:0015151	alpha-glucoside transmembrane transporter activity	2	1	0.02	0.01642
