GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0045494	photoreceptor cell maintenance	48	35	18.53	1.4e-06
2	GO:0007346	regulation of mitotic cell cycle	346	140	133.6	9.6e-06
3	GO:0007586	digestion	86	52	33.21	1.1e-05
4	GO:0034612	response to tumor necrosis factor	56	36	21.62	1.5e-05
5	GO:0006278	RNA-templated DNA biosynthetic process	1370	605	528.97	1.9e-05
6	GO:0006508	proteolysis	1834	776	708.13	1.9e-05
7	GO:0048496	maintenance of animal organ identity	32	24	12.36	3.1e-05
8	GO:0051865	protein autoubiquitination	109	63	42.09	3.7e-05
9	GO:0007155	cell adhesion	1231	523	475.3	6.6e-05
10	GO:0015074	DNA integration	1055	466	407.35	8.5e-05
11	GO:0030324	lung development	127	58	49.04	0.00014
12	GO:0006260	DNA replication	1664	699	642.49	0.00018
13	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	63	38	24.33	0.00039
14	GO:0090084	negative regulation of inclusion body assembly	9	9	3.48	0.00049
15	GO:0000723	telomere maintenance	190	93	73.36	0.00052
16	GO:0071908	determination of intestine left/right asymmetry	23	17	8.88	0.00063
17	GO:0071909	determination of stomach left/right asymmetry	23	17	8.88	0.00063
18	GO:0006986	response to unfolded protein	74	44	28.57	0.00065
19	GO:0045860	positive regulation of protein kinase activity	268	113	103.48	0.00068
20	GO:0060027	convergent extension involved in gastrulation	31	21	11.97	0.00096
21	GO:0030336	negative regulation of cell migration	60	34	23.17	0.00101
22	GO:0098586	cellular response to virus	7	7	2.7	0.00128
23	GO:0072189	ureter development	31	19	11.97	0.00139
24	GO:0032480	negative regulation of type I interferon production	13	11	5.02	0.00204
25	GO:0045087	innate immune response	344	172	132.82	0.00206
26	GO:0045669	positive regulation of osteoblast differentiation	63	36	24.33	0.00216
27	GO:0006032	chitin catabolic process	25	17	9.65	0.00278
28	GO:0035469	determination of pancreatic left/right asymmetry	25	17	9.65	0.00278
29	GO:0060993	kidney morphogenesis	90	42	34.75	0.00278
30	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	29	17	11.2	0.00280
31	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	27	14	10.43	0.00281
32	GO:0097284	hepatocyte apoptotic process	9	8	3.48	0.00291
33	GO:1900542	regulation of purine nucleotide metabolic process	537	186	207.34	0.00308
34	GO:0050714	positive regulation of protein secretion	64	31	24.71	0.00314
35	GO:0034340	response to type I interferon	23	15	8.88	0.00330
36	GO:0042117	monocyte activation	6	6	2.32	0.00331
37	GO:0032727	positive regulation of interferon-alpha production	6	6	2.32	0.00331
38	GO:0010043	response to zinc ion	22	15	8.49	0.00399
39	GO:0090090	negative regulation of canonical Wnt signaling pathway	80	43	30.89	0.00418
40	GO:0032075	positive regulation of nuclease activity	22	15	8.49	0.00475
41	GO:0071910	determination of liver left/right asymmetry	26	17	10.04	0.00515
42	GO:0010954	positive regulation of protein processing	61	35	23.55	0.00562
43	GO:0060249	anatomical structure homeostasis	317	161	122.4	0.00565
44	GO:0060546	negative regulation of necroptotic process	8	7	3.09	0.00677
45	GO:0033631	cell-cell adhesion mediated by integrin	11	8	4.25	0.00677
46	GO:0090305	nucleic acid phosphodiester bond hydrolysis	870	371	335.92	0.00705
47	GO:0006310	DNA recombination	793	330	306.19	0.00707
48	GO:0006694	steroid biosynthetic process	126	52	48.65	0.00793
49	GO:0002329	pre-B cell differentiation	11	9	4.25	0.00856
50	GO:0010693	negative regulation of alkaline phosphatase activity	5	5	1.93	0.00857
51	GO:0031047	regulatory ncRNA-mediated gene silencing	137	65	52.9	0.00885
52	GO:0035315	hair cell differentiation	65	32	25.1	0.00958
53	GO:0032508	DNA duplex unwinding	206	94	79.54	0.01047
54	GO:1903047	mitotic cell cycle process	757	278	292.29	0.01175
55	GO:0010172	embryonic body morphogenesis	41	24	15.83	0.01181
56	GO:0010390	histone monoubiquitination	19	12	7.34	0.01325
57	GO:0000272	polysaccharide catabolic process	48	27	18.53	0.01378
58	GO:0003283	atrial septum development	40	24	15.44	0.01421
59	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	16	11	6.18	0.01426
60	GO:0030307	positive regulation of cell growth	68	37	26.26	0.01462
61	GO:0022604	regulation of cell morphogenesis	285	125	110.04	0.01485
62	GO:0090103	cochlea morphogenesis	26	16	10.04	0.01497
63	GO:0097028	dendritic cell differentiation	15	11	5.79	0.01548
64	GO:1901897	regulation of relaxation of cardiac muscle	8	7	3.09	0.01550
65	GO:0030326	embryonic limb morphogenesis	94	39	36.29	0.01950
66	GO:0097374	sensory neuron axon guidance	9	7	3.48	0.02025
67	GO:0008045	motor neuron axon guidance	33	19	12.74	0.02189
68	GO:0042632	cholesterol homeostasis	31	18	11.97	0.02190
69	GO:0060038	cardiac muscle cell proliferation	30	15	11.58	0.02220
70	GO:0010737	protein kinase A signaling	8	6	3.09	0.02221
71	GO:0060333	type II interferon-mediated signaling pathway	11	7	4.25	0.02221
72	GO:0060056	mammary gland involution	6	5	2.32	0.02221
73	GO:0007039	protein catabolic process in the vacuole	4	4	1.54	0.02221
74	GO:0009597	detection of virus	4	4	1.54	0.02221
75	GO:0036071	N-glycan fucosylation	4	4	1.54	0.02221
76	GO:0042574	retinal metabolic process	4	4	1.54	0.02221
77	GO:0044795	trans-Golgi network to recycling endosome transport	4	4	1.54	0.02221
78	GO:1902463	protein localization to cell leading edge	4	4	1.54	0.02221
79	GO:0015866	ADP transport	4	4	1.54	0.02221
80	GO:0034344	regulation of type III interferon production	4	4	1.54	0.02221
81	GO:0034241	positive regulation of macrophage fusion	4	4	1.54	0.02221
82	GO:0034773	histone H4-K20 trimethylation	4	4	1.54	0.02221
83	GO:0097368	establishment of Sertoli cell barrier	4	4	1.54	0.02221
84	GO:0090234	regulation of kinetochore assembly	4	4	1.54	0.02221
85	GO:0051549	positive regulation of keratinocyte migration	4	4	1.54	0.02221
86	GO:0010596	negative regulation of endothelial cell migration	8	5	3.09	0.02222
87	GO:0042744	hydrogen peroxide catabolic process	29	17	11.2	0.02284
88	GO:0070301	cellular response to hydrogen peroxide	44	24	16.99	0.02301
89	GO:0006082	organic acid metabolic process	848	341	327.42	0.02309
90	GO:0035767	endothelial cell chemotaxis	14	10	5.41	0.02329
91	GO:0075733	intracellular transport of virus	29	15	11.2	0.02330
92	GO:0051591	response to cAMP	41	21	15.83	0.02376
93	GO:0007179	transforming growth factor beta receptor signaling pathway	105	59	40.54	0.02390
94	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	26	16	10.04	0.02457
95	GO:0042149	cellular response to glucose starvation	13	9	5.02	0.02513
96	GO:0030199	collagen fibril organization	40	22	15.44	0.02582
97	GO:0060113	inner ear receptor cell differentiation	93	41	35.91	0.02606
98	GO:0050965	detection of temperature stimulus involved in sensory perception of pain	15	10	5.79	0.02609
99	GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	35	22	13.51	0.02631
100	GO:0001867	complement activation, lectin pathway	19	13	7.34	0.02639
101	GO:0050896	response to stimulus	5862	2298	2263.39	0.02666
102	GO:0021987	cerebral cortex development	98	51	37.84	0.02758
103	GO:0051384	response to glucocorticoid	56	31	21.62	0.02877
104	GO:0000002	mitochondrial genome maintenance	87	43	33.59	0.03055
105	GO:0051291	protein heterooligomerization	60	27	23.17	0.03066
106	GO:0034976	response to endoplasmic reticulum stress	98	47	37.84	0.03388
107	GO:0002328	pro-B cell differentiation	10	7	3.86	0.03489
108	GO:0043666	regulation of phosphoprotein phosphatase activity	8	6	3.09	0.03489
109	GO:0032025	response to cobalt ion	6	5	2.32	0.03490
110	GO:0010694	positive regulation of alkaline phosphatase activity	6	5	2.32	0.03490
111	GO:0051044	positive regulation of membrane protein ectodomain proteolysis	6	5	2.32	0.03490
112	GO:0035726	common myeloid progenitor cell proliferation	6	5	2.32	0.03490
113	GO:0060337	type I interferon-mediated signaling pathway	17	9	6.56	0.03491
114	GO:0097178	ruffle assembly	10	6	3.86	0.03491
115	GO:0003018	vascular process in circulatory system	116	37	44.79	0.03513
116	GO:0009887	animal organ morphogenesis	703	290	271.44	0.03522
117	GO:0045664	regulation of neuron differentiation	276	115	106.57	0.03586
118	GO:0030198	extracellular matrix organization	264	128	101.93	0.03724
119	GO:0065008	regulation of biological quality	2065	779	797.32	0.03779
120	GO:0030501	positive regulation of bone mineralization	37	20	14.29	0.04054
121	GO:0075713	establishment of integrated proviral latency	37	20	14.29	0.04054
122	GO:0060284	regulation of cell development	478	197	184.56	0.04097
123	GO:0031331	positive regulation of cellular catabolic process	122	48	47.11	0.04152
124	GO:0030277	maintenance of gastrointestinal epithelium	12	8	4.63	0.04169
125	GO:0042416	dopamine biosynthetic process	8	6	3.09	0.04171
126	GO:0034122	negative regulation of toll-like receptor signaling pathway	8	6	3.09	0.04171
127	GO:0010042	response to manganese ion	11	7	4.25	0.04171
128	GO:0007163	establishment or maintenance of cell polarity	143	53	55.21	0.04294
129	GO:0072376	protein activation cascade	39	20	15.06	0.04302
130	GO:0048661	positive regulation of smooth muscle cell proliferation	20	12	7.72	0.04305
131	GO:0035583	sequestering of TGFbeta in extracellular matrix	20	12	7.72	0.04305
132	GO:0090288	negative regulation of cellular response to growth factor stimulus	63	31	24.33	0.04306
133	GO:0045471	response to ethanol	47	23	18.15	0.04317
134	GO:0006283	transcription-coupled nucleotide-excision repair	18	11	6.95	0.04458
135	GO:0030866	cortical actin cytoskeleton organization	21	12	8.11	0.04458
136	GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	15	10	5.79	0.04506
137	GO:0007390	germ-band shortening	10	7	3.86	0.04510
138	GO:0032731	positive regulation of interleukin-1 beta production	10	7	3.86	0.04510
139	GO:0006682	galactosylceramide biosynthetic process	10	7	3.86	0.04510
140	GO:0060674	placenta blood vessel development	21	11	8.11	0.04510
141	GO:0022603	regulation of anatomical structure morphogenesis	536	238	206.96	0.04535
142	GO:0007595	lactation	16	10	6.18	0.04579
143	GO:0006303	double-strand break repair via nonhomologous end joining	33	18	12.74	0.04590
144	GO:0071222	cellular response to lipopolysaccharide	52	23	20.08	0.04604
145	GO:0006629	lipid metabolic process	953	387	367.97	0.04610
146	GO:0030500	regulation of bone mineralization	54	30	20.85	0.04621
147	GO:0009886	post-embryonic animal morphogenesis	85	39	32.82	0.04640
148	GO:2000167	regulation of planar cell polarity pathway involved in neural tube closure	18	11	6.95	0.04641
149	GO:0071711	basement membrane organization	21	14	8.11	0.04641
150	GO:0030318	melanocyte differentiation	12	8	4.63	0.04643
