GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005576	extracellular region	2497	1105	942.03	2e-11
2	GO:0030496	midbody	201	107	75.83	5e-06
3	GO:0030139	endocytic vesicle	134	61	50.55	0.00013
4	GO:0043564	Ku70:Ku80 complex	18	14	6.79	0.00064
5	GO:0016020	membrane	7010	2703	2644.62	0.00163
6	GO:0031012	extracellular matrix	604	276	227.87	0.00196
7	GO:0030127	COPII vesicle coat	6	6	2.26	0.00288
8	GO:0070852	cell body fiber	6	6	2.26	0.00288
9	GO:0002142	stereocilia ankle link complex	11	9	4.15	0.00371
10	GO:0070062	extracellular exosome	640	274	241.45	0.00404
11	GO:0005581	collagen trimer	187	88	70.55	0.00506
12	GO:0005615	extracellular space	1131	485	426.69	0.00543
13	GO:0034702	monoatomic ion channel complex	286	89	107.9	0.00777
14	GO:0097431	mitotic spindle pole	34	20	12.83	0.01002
15	GO:1990023	mitotic spindle midzone	34	20	12.83	0.01002
16	GO:0030658	transport vesicle membrane	129	53	48.67	0.01205
17	GO:0055038	recycling endosome membrane	22	14	8.3	0.01219
18	GO:0005777	peroxisome	120	57	45.27	0.01418
19	GO:0019897	extrinsic component of plasma membrane	66	34	24.9	0.01513
20	GO:0030140	trans-Golgi network transport vesicle	17	10	6.41	0.01762
21	GO:0032302	MutSbeta complex	4	4	1.51	0.02025
22	GO:0032593	insulin-responsive compartment	4	4	1.51	0.02025
23	GO:0031201	SNARE complex	17	11	6.41	0.02195
24	GO:0019028	viral capsid	10	7	3.77	0.03140
25	GO:0097342	ripoptosome	6	5	2.26	0.03141
26	GO:0031265	CD95 death-inducing signaling complex	6	5	2.26	0.03141
27	GO:0030690	Noc1p-Noc2p complex	6	5	2.26	0.03141
28	GO:0034706	sodium channel complex	23	7	8.68	0.03152
29	GO:0035631	CD40 receptor complex	24	14	9.05	0.03230
30	GO:0005604	basement membrane	198	85	74.7	0.03349
31	GO:0016234	inclusion body	36	19	13.58	0.03958
32	GO:0000812	Swr1 complex	10	7	3.77	0.03966
33	GO:0060171	stereocilium membrane	10	7	3.77	0.03966
34	GO:0010494	cytoplasmic stress granule	12	8	4.53	0.04039
35	GO:0042589	zymogen granule membrane	38	20	14.34	0.04349
36	GO:0043202	lysosomal lumen	50	27	18.86	0.04592
37	GO:0005769	early endosome	163	63	61.49	0.04711
38	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	43	23	16.22	0.05172
39	GO:0032059	bleb	3	3	1.13	0.05368
40	GO:0034455	t-UTP complex	3	3	1.13	0.05368
41	GO:0030485	smooth muscle contractile fiber	3	3	1.13	0.05368
42	GO:0034678	integrin alpha8-beta1 complex	3	3	1.13	0.05368
43	GO:0031528	microvillus membrane	19	11	7.17	0.05933
44	GO:0009986	cell surface	367	153	138.46	0.06723
45	GO:0030659	cytoplasmic vesicle membrane	584	234	220.32	0.06939
46	GO:0042406	extrinsic component of endoplasmic reticulum membrane	5	4	1.89	0.07069
47	GO:0043160	acrosomal lumen	5	4	1.89	0.07069
48	GO:0000110	nucleotide-excision repair factor 1 complex	5	4	1.89	0.07069
49	GO:0009277	fungal-type cell wall	5	4	1.89	0.07069
50	GO:0032579	apical lamina of hyaline layer	24	13	9.05	0.07501
51	GO:0070938	contractile ring	12	7	4.53	0.07584
52	GO:0000783	nuclear telomere cap complex	9	6	3.4	0.07607
53	GO:0000932	P-body	112	50	42.25	0.07915
54	GO:0031902	late endosome membrane	78	36	29.43	0.08447
55	GO:0005764	lysosome	435	186	164.11	0.10474
56	GO:0002080	acrosomal membrane	14	8	5.28	0.11185
57	GO:0035861	site of double-strand break	14	8	5.28	0.11185
58	GO:0001527	microfibril	23	12	8.68	0.11323
59	GO:0009897	external side of plasma membrane	80	36	30.18	0.11562
60	GO:0045121	membrane raft	156	67	58.85	0.11823
61	GO:0072534	perineuronal net	12	7	4.53	0.12104
62	GO:0030426	growth cone	83	35	31.31	0.12177
63	GO:0005834	heterotrimeric G-protein complex	10	6	3.77	0.13069
64	GO:0009898	cytoplasmic side of plasma membrane	64	30	24.14	0.13290
65	GO:0071944	cell periphery	3897	1524	1470.2	0.13920
66	GO:0005797	Golgi medial cisterna	8	5	3.02	0.14043
67	GO:0030054	cell junction	1010	368	381.04	0.14225
68	GO:0097386	glial cell projection	6	4	2.26	0.14229
69	GO:0017109	glutamate-cysteine ligase complex	2	2	0.75	0.14231
70	GO:0031085	BLOC-3 complex	2	2	0.75	0.14231
71	GO:0042587	glycogen granule	2	2	0.75	0.14231
72	GO:0071797	LUBAC complex	2	2	0.75	0.14231
73	GO:0031429	box H/ACA snoRNP complex	2	2	0.75	0.14231
74	GO:0032807	DNA ligase IV complex	2	2	0.75	0.14231
75	GO:0005704	polytene chromosome band	2	2	0.75	0.14231
76	GO:0071821	FANCM-MHF complex	2	2	0.75	0.14231
77	GO:0008024	cyclin/CDK positive transcription elongation factor complex	2	2	0.75	0.14231
78	GO:0005960	glycine cleavage complex	2	2	0.75	0.14231
79	GO:0034663	endoplasmic reticulum chaperone complex	2	2	0.75	0.14231
80	GO:0035339	SPOTS complex	2	2	0.75	0.14231
81	GO:0071942	XPC complex	2	2	0.75	0.14231
82	GO:0002189	ribose phosphate diphosphokinase complex	2	2	0.75	0.14231
83	GO:0030128	clathrin coat of endocytic vesicle	8	4	3.02	0.14233
84	GO:0070382	exocytic vesicle	110	36	41.5	0.14262
85	GO:0000779	condensed chromosome, centromeric region	97	28	36.59	0.14276
86	GO:1902495	transmembrane transporter complex	318	98	119.97	0.14339
87	GO:0019898	extrinsic component of membrane	150	71	56.59	0.14903
88	GO:0005595	collagen type XII trimer	6	4	2.26	0.14923
89	GO:0005921	gap junction	6	4	2.26	0.14923
90	GO:0005795	Golgi stack	129	52	48.67	0.14925
91	GO:0000407	phagophore assembly site	17	5	6.41	0.14947
92	GO:0033180	proton-transporting V-type ATPase, V1 domain	6	4	2.26	0.15397
93	GO:0032473	cytoplasmic side of mitochondrial outer membrane	4	3	1.51	0.15398
94	GO:0044530	supraspliceosomal complex	4	3	1.51	0.15398
95	GO:0005746	mitochondrial respirasome	34	9	12.83	0.15432
96	GO:0038039	G protein-coupled receptor heterodimeric complex	15	8	5.66	0.16299
97	GO:0000242	pericentriolar material	15	8	5.66	0.16299
98	GO:0016235	aggresome	13	7	4.9	0.17965
99	GO:0030014	CCR4-NOT complex	13	7	4.9	0.17965
100	GO:0097060	synaptic membrane	284	101	107.14	0.18067
101	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	20	10	7.55	0.18261
102	GO:0005618	cell wall	38	20	14.34	0.18643
103	GO:0000922	spindle pole	237	103	89.41	0.19045
104	GO:0030133	transport vesicle	211	91	79.6	0.19383
105	GO:0098588	bounding membrane of organelle	1764	686	665.49	0.21165
106	GO:0005798	Golgi-associated vesicle	48	22	18.11	0.22062
107	GO:0031527	filopodium membrane	9	5	3.4	0.22089
108	GO:0010008	endosome membrane	257	105	96.96	0.22472
109	GO:0031965	nuclear membrane	191	78	72.06	0.22559
110	GO:0043005	neuron projection	725	244	273.52	0.22786
111	GO:0043232	intracellular non-membrane-bounded organelle	3138	1034	1183.85	0.22989
112	GO:0005789	endoplasmic reticulum membrane	612	241	230.89	0.23089
113	GO:0005765	lysosomal membrane	231	93	87.15	0.23146
114	GO:0044217	other organism part	64	24	24.14	0.23660
115	GO:0030141	secretory granule	196	81	73.94	0.24328
116	GO:0000813	ESCRT I complex	7	4	2.64	0.24708
117	GO:0009506	plasmodesma	7	4	2.64	0.24708
118	GO:0005964	phosphorylase kinase complex	7	4	2.64	0.24708
119	GO:0071547	piP-body	7	4	2.64	0.24708
120	GO:0043020	NADPH oxidase complex	7	4	2.64	0.24708
121	GO:0014069	postsynaptic density	109	45	41.12	0.25017
122	GO:0042470	melanosome	76	32	28.67	0.25102
123	GO:0043198	dendritic shaft	19	9	7.17	0.26075
124	GO:0042025	host cell nucleus	19	9	7.17	0.26075
125	GO:0016324	apical plasma membrane	210	84	79.23	0.26898
126	GO:0005811	lipid droplet	29	13	10.94	0.27192
127	GO:0060170	ciliary membrane	56	24	21.13	0.27359
128	GO:0012506	vesicle membrane	596	240	224.85	0.27431
129	GO:0035267	NuA4 histone acetyltransferase complex	15	8	5.66	0.27630
130	GO:0005771	multivesicular body	22	10	8.3	0.27639
131	GO:0031083	BLOC-1 complex	12	6	4.53	0.27643
132	GO:0030877	beta-catenin destruction complex	5	3	1.89	0.27892
133	GO:0005915	zonula adherens	5	3	1.89	0.27892
134	GO:0005788	endoplasmic reticulum lumen	145	56	54.7	0.28496
