GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0003676	nucleic acid binding	5248	2099	2045.55	1.6e-05
2	GO:0003964	RNA-directed DNA polymerase activity	1340	589	522.3	6.2e-05
3	GO:0016874	ligase activity	619	269	241.27	0.00077
4	GO:0008270	zinc ion binding	1978	831	770.98	0.00191
5	GO:0004519	endonuclease activity	584	247	227.63	0.00202
6	GO:0004252	serine-type endopeptidase activity	232	112	90.43	0.00235
7	GO:0042162	telomeric DNA binding	34	22	13.25	0.00312
8	GO:0020037	heme binding	179	88	69.77	0.00343
9	GO:0004508	steroid 17-alpha-monooxygenase activity	33	21	12.86	0.00358
10	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	33	21	12.86	0.00358
11	GO:0005518	collagen binding	58	33	22.61	0.00424
12	GO:0043139	5'-3' DNA helicase activity	81	43	31.57	0.00683
13	GO:0008020	G protein-coupled photoreceptor activity	8	7	3.12	0.00719
14	GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	17	12	6.63	0.00832
15	GO:0031593	polyubiquitin modification-dependent protein binding	44	26	17.15	0.00920
16	GO:0004190	aspartic-type endopeptidase activity	417	187	162.54	0.00951
17	GO:0004601	peroxidase activity	48	24	18.71	0.00997
18	GO:0004842	ubiquitin-protein transferase activity	500	220	194.89	0.01341
19	GO:0005201	extracellular matrix structural constituent	80	45	31.18	0.01476
20	GO:0030544	Hsp70 protein binding	18	12	7.02	0.01616
21	GO:0070290	N-acylphosphatidylethanolamine-specific phospholipase D activity	7	6	2.73	0.01633
22	GO:0004095	carnitine O-palmitoyltransferase activity	7	6	2.73	0.01633
23	GO:0003725	double-stranded RNA binding	20	13	7.8	0.01658
24	GO:0003684	damaged DNA binding	64	33	24.95	0.01670
25	GO:0004563	beta-N-acetylhexosaminidase activity	22	14	8.58	0.01674
26	GO:0005509	calcium ion binding	1100	462	428.76	0.01875
27	GO:0030246	carbohydrate binding	355	160	138.37	0.01883
28	GO:0004518	nuclease activity	838	361	326.63	0.02067
29	GO:0005176	ErbB-2 class receptor binding	9	7	3.51	0.02143
30	GO:0005502	11-cis retinal binding	4	4	1.56	0.02307
31	GO:0032181	dinucleotide repeat insertion binding	4	4	1.56	0.02307
32	GO:0000406	double-strand/single-strand DNA junction binding	4	4	1.56	0.02307
33	GO:0005164	tumor necrosis factor receptor binding	31	18	12.08	0.02424
34	GO:0004180	carboxypeptidase activity	53	27	20.66	0.02687
35	GO:0004722	protein serine/threonine phosphatase activity	27	16	10.52	0.02814
36	GO:0043130	ubiquitin binding	81	40	31.57	0.03626
37	GO:0035877	death effector domain binding	6	5	2.34	0.03642
38	GO:0004144	diacylglycerol O-acyltransferase activity	6	5	2.34	0.03642
