GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043547	positive regulation of GTPase activity	339	186	130.75	6.4e-10
2	GO:0009118	regulation of nucleoside metabolic process	384	203	148.1	1.9e-08
3	GO:0033121	regulation of purine nucleotide catabolic process	383	201	147.72	2.6e-08
4	GO:0001666	response to hypoxia	125	75	48.21	8.7e-07
5	GO:0008380	RNA splicing	252	145	97.19	4.0e-06
6	GO:0044248	cellular catabolic process	1985	973	765.59	4.1e-06
7	GO:0051028	mRNA transport	114	75	43.97	6.7e-06
8	GO:0015031	protein transport	1104	531	425.8	7.2e-06
9	GO:0046130	purine ribonucleoside catabolic process	619	285	238.74	9.0e-06
10	GO:0006412	translation	471	249	181.66	9.3e-06
11	GO:0046034	ATP metabolic process	454	225	175.1	1.0e-05
12	GO:0009169	purine ribonucleoside monophosphate catabolic process	431	210	166.23	1.2e-05
13	GO:0006397	mRNA processing	356	200	137.3	2.0e-05
14	GO:0006810	transport	3662	1612	1412.38	3.3e-05
15	GO:0034587	piRNA processing	17	15	6.56	3.4e-05
16	GO:0009207	purine ribonucleoside triphosphate catabolic process	604	280	232.95	4.4e-05
17	GO:0009154	purine ribonucleotide catabolic process	623	289	240.28	5.8e-05
18	GO:0016482	cytosolic transport	403	197	155.43	6.0e-05
19	GO:0016197	endosomal transport	142	70	54.77	1.0e-04
20	GO:0000398	mRNA splicing, via spliceosome	139	81	53.61	0.00014
21	GO:0030036	actin cytoskeleton organization	355	183	136.92	0.00018
22	GO:0007040	lysosome organization	33	21	12.73	0.00025
23	GO:0051603	proteolysis involved in protein catabolic process	323	175	124.58	0.00027
24	GO:0044403	biological process involved in symbiotic interaction	314	133	121.11	0.00028
25	GO:0046777	protein autophosphorylation	168	85	64.8	0.00042
26	GO:0006511	ubiquitin-dependent protein catabolic process	280	149	107.99	0.00046
27	GO:0032967	positive regulation of collagen biosynthetic process	8	8	3.09	0.00049
28	GO:0043065	positive regulation of apoptotic process	219	118	84.47	0.00051
29	GO:0015985	energy coupled proton transport, down electrochemical gradient	11	10	4.24	0.00052
30	GO:0007584	response to nutrient	110	62	42.43	0.00063
31	GO:0009719	response to endogenous stimulus	1046	481	403.43	0.00064
32	GO:0045944	positive regulation of transcription by RNA polymerase II	417	195	160.83	0.00076
33	GO:0016032	viral process	298	123	114.93	0.00078
34	GO:0097194	execution phase of apoptosis	50	30	19.28	0.00083
35	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	13	11	5.01	0.00091
36	GO:0048661	positive regulation of smooth muscle cell proliferation	20	15	7.71	0.00103
37	GO:0035023	regulation of Rho protein signal transduction	64	39	24.68	0.00107
38	GO:0006337	nucleosome disassembly	10	9	3.86	0.00123
39	GO:0000122	negative regulation of transcription by RNA polymerase II	290	137	111.85	0.00142
40	GO:0090068	positive regulation of cell cycle process	111	65	42.81	0.00146
41	GO:0050790	regulation of catalytic activity	1316	602	507.56	0.00149
42	GO:0006406	mRNA export from nucleus	39	27	15.04	0.00168
43	GO:0017148	negative regulation of translation	128	62	49.37	0.00168
44	GO:0042307	positive regulation of protein import into nucleus	30	20	11.57	0.00169
45	GO:0007605	sensory perception of sound	130	68	50.14	0.00182
46	GO:0043066	negative regulation of apoptotic process	363	179	140	0.00184
47	GO:0006357	regulation of transcription by RNA polymerase II	720	343	277.69	0.00188
48	GO:0044281	small molecule metabolic process	2661	1266	1026.31	0.00193
49	GO:0032868	response to insulin	118	59	45.51	0.00201
50	GO:0060048	cardiac muscle contraction	42	25	16.2	0.00202
51	GO:0007077	mitotic nuclear membrane disassembly	19	14	7.33	0.00203
52	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	63	36	24.3	0.00211
53	GO:0018105	peptidyl-serine phosphorylation	87	48	33.55	0.00236
54	GO:0034641	cellular nitrogen compound metabolic process	7275	2637	2805.87	0.00238
55	GO:0010954	positive regulation of protein processing	61	36	23.53	0.00246
56	GO:0010628	positive regulation of gene expression	779	362	300.45	0.00252
57	GO:0042325	regulation of phosphorylation	722	343	278.47	0.00259
58	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	26	18	10.03	0.00274
59	GO:0007586	digestion	86	42	33.17	0.00274
60	GO:0051591	response to cAMP	41	25	15.81	0.00287
61	GO:0015986	proton motive force-driven ATP synthesis	11	10	4.24	0.00289
62	GO:0032720	negative regulation of tumor necrosis factor production	29	19	11.18	0.00298
63	GO:0006006	glucose metabolic process	103	57	39.73	0.00299
64	GO:0042632	cholesterol homeostasis	31	20	11.96	0.00304
65	GO:0090263	positive regulation of canonical Wnt signaling pathway	37	23	14.27	0.00308
66	GO:0007275	multicellular organism development	3220	1393	1241.91	0.00320
67	GO:0045664	regulation of neuron differentiation	276	135	106.45	0.00329
68	GO:0016579	protein deubiquitination	57	34	21.98	0.00339
69	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	16	12	6.17	0.00342
70	GO:0014070	response to organic cyclic compound	490	249	188.99	0.00365
71	GO:0006886	intracellular protein transport	480	236	185.13	0.00376
