GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0048471	perinuclear region of cytoplasm	348	204	144.63	7.1e-11
2	GO:0005737	cytoplasm	8512	3780	3537.59	1.0e-06
3	GO:0005764	lysosome	435	220	180.79	7.3e-06
4	GO:0005777	peroxisome	120	65	49.87	3.5e-05
5	GO:0070062	extracellular exosome	640	315	265.98	4.0e-05
6	GO:0071013	catalytic step 2 spliceosome	52	36	21.61	5.0e-05
7	GO:0044297	cell body	282	140	117.2	5.0e-05
8	GO:0005874	microtubule	367	191	152.53	9.5e-05
9	GO:0046930	pore complex	86	52	35.74	0.00031
10	GO:0016514	SWI/SNF complex	9	9	3.74	0.00037
11	GO:0016607	nuclear speck	127	72	52.78	0.00040
12	GO:0005856	cytoskeleton	1631	768	677.84	0.00040
13	GO:0005912	adherens junction	151	85	62.76	0.00045
14	GO:0030027	lamellipodium	96	55	39.9	0.00046
15	GO:0032991	protein-containing complex	3732	1808	1551.02	0.00052
16	GO:0045121	membrane raft	156	89	64.83	0.00060
17	GO:0005747	mitochondrial respiratory chain complex I	22	17	9.14	0.00072
18	GO:0005942	phosphatidylinositol 3-kinase complex	10	10	4.16	0.00089
19	GO:0005839	proteasome core complex	17	11	7.07	0.00089
20	GO:0030018	Z disc	79	47	32.83	0.00096
21	GO:0005829	cytosol	1302	610	541.11	0.00103
22	GO:0031965	nuclear membrane	191	101	79.38	0.00111
23	GO:0070469	respirasome	50	37	20.78	0.00141
24	GO:0031080	nuclear pore outer ring	16	13	6.65	0.00143
25	GO:0030867	rough endoplasmic reticulum membrane	12	11	4.99	0.00213
26	GO:0005832	chaperonin-containing T-complex	7	7	2.91	0.00214
27	GO:0071547	piP-body	7	7	2.91	0.00214
28	GO:0002199	zona pellucida receptor complex	7	7	2.91	0.00214
29	GO:0005789	endoplasmic reticulum membrane	612	299	254.35	0.00224
30	GO:0042645	mitochondrial nucleoid	27	19	11.22	0.00233
31	GO:0030139	endocytic vesicle	134	65	55.69	0.00245
32	GO:0005840	ribosome	205	110	85.2	0.00256
33	GO:0005643	nuclear pore	75	50	31.17	0.00287
34	GO:0000502	proteasome complex	65	43	27.01	0.00301
35	GO:0016459	myosin complex	49	32	20.36	0.00353
36	GO:0042995	cell projection	1333	586	553.99	0.00376
37	GO:0005681	spliceosomal complex	131	80	54.44	0.00418
38	GO:0042405	nuclear inclusion body	9	8	3.74	0.00504
39	GO:0071564	npBAF complex	9	8	3.74	0.00504
40	GO:0071565	nBAF complex	9	8	3.74	0.00504
41	GO:0044615	nuclear pore nuclear basket	6	6	2.49	0.00515
42	GO:0005845	mRNA cap binding complex	14	11	5.82	0.00554
43	GO:0000776	kinetochore	95	49	39.48	0.00580
44	GO:0005811	lipid droplet	29	19	12.05	0.00789
45	GO:0002142	stereocilia ankle link complex	11	9	4.57	0.00798
46	GO:0042584	chromaffin granule membrane	11	9	4.57	0.00798
47	GO:0033391	chromatoid body	11	9	4.57	0.00798
48	GO:0072686	mitotic spindle	51	19	21.2	0.00804
49	GO:0005925	focal adhesion	90	49	37.4	0.00908
50	GO:0034399	nuclear periphery	76	35	31.59	0.01068
51	GO:0045169	fusome	8	7	3.32	0.01089
52	GO:0045334	clathrin-coated endocytic vesicle	18	8	7.48	0.01241
53	GO:0043034	costamere	15	11	6.23	0.01299
54	GO:0098588	bounding membrane of organelle	1764	764	733.12	0.01400
55	GO:0031594	neuromuscular junction	36	22	14.96	0.01402
56	GO:0071546	pi-body	10	8	4.16	0.01597
57	GO:0043232	intracellular non-membrane-bounded organelle	3138	1406	1304.15	0.01637
58	GO:0005794	Golgi apparatus	1049	442	435.96	0.01692
59	GO:0005783	endoplasmic reticulum	1100	529	457.16	0.01706
60	GO:0005743	mitochondrial inner membrane	295	152	122.6	0.01731
61	GO:0005770	late endosome	141	74	58.6	0.01885
62	GO:0005815	microtubule organizing center	578	249	240.22	0.01945
63	GO:0005685	U1 snRNP	12	9	4.99	0.02015
64	GO:0000421	autophagosome membrane	12	9	4.99	0.02015
65	GO:0005868	cytoplasmic dynein complex	47	27	19.53	0.02018
66	GO:0005654	nucleoplasm	769	364	319.6	0.02208
67	GO:0008250	oligosaccharyltransferase complex	7	6	2.91	0.02320
68	GO:0000145	exocyst	7	6	2.91	0.02320
69	GO:0022625	cytosolic large ribosomal subunit	14	10	5.82	0.02346
70	GO:0043025	neuronal cell body	256	119	106.39	0.02396
71	GO:0005902	microvillus	67	39	27.85	0.02793
72	GO:0008180	COP9 signalosome	20	13	8.31	0.02946
73	GO:0043296	apical junction complex	97	53	40.31	0.02964
74	GO:0072669	tRNA-splicing ligase complex	4	4	1.66	0.02982
75	GO:0070937	CRD-mediated mRNA stability complex	4	4	1.66	0.02982
76	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	4	4	1.66	0.02982
77	GO:0005916	fascia adherens	4	4	1.66	0.02982
78	GO:0097233	alveolar lamellar body membrane	4	4	1.66	0.02982
79	GO:0009898	cytoplasmic side of plasma membrane	64	34	26.6	0.03036
80	GO:0032426	stereocilium tip	9	7	3.74	0.03135
81	GO:0005903	brush border	79	34	32.83	0.03140
82	GO:0045111	intermediate filament cytoskeleton	48	20	19.95	0.03144
83	GO:0005741	mitochondrial outer membrane	96	51	39.9	0.03376
84	GO:0012507	ER to Golgi transport vesicle membrane	17	12	7.07	0.03721
85	GO:0033268	node of Ranvier	11	8	4.57	0.03726
86	GO:0016460	myosin II complex	13	9	5.4	0.04148
87	GO:0005689	U12-type spliceosomal complex	15	10	6.23	0.04442
88	GO:0005892	acetylcholine-gated channel complex	37	21	15.38	0.04453
89	GO:0005923	bicellular tight junction	73	38	30.34	0.04497
90	GO:0000794	condensed nuclear chromosome	34	18	14.13	0.04640
91	GO:0031528	microvillus membrane	19	12	7.9	0.04765
92	GO:0043186	P granule	19	16	7.9	0.04842
93	GO:0005753	mitochondrial proton-transporting ATP synthase complex	10	9	4.16	0.04852
94	GO:0033093	Weibel-Palade body	6	5	2.49	0.04860
95	GO:0005921	gap junction	6	5	2.49	0.04860
96	GO:0016581	NuRD complex	6	5	2.49	0.04860
97	GO:0019028	viral capsid	10	6	4.16	0.04862
98	GO:0005929	cilium	426	183	177.05	0.05123
99	GO:0031410	cytoplasmic vesicle	1221	556	507.45	0.05587
100	GO:0017119	Golgi transport complex	8	6	3.32	0.06013
101	GO:0034362	low-density lipoprotein particle	8	6	3.32	0.06013
102	GO:0000159	protein phosphatase type 2A complex	8	6	3.32	0.06013
103	GO:0043220	Schmidt-Lanterman incisure	8	6	3.32	0.06013
104	GO:0000812	Swr1 complex	10	7	4.16	0.06723
105	GO:0060171	stereocilium membrane	10	7	4.16	0.06723
106	GO:0034707	chloride channel complex	49	26	20.36	0.06887
107	GO:0005814	centriole	75	38	31.17	0.06934
108	GO:0016529	sarcoplasmic reticulum	40	25	16.62	0.07124
