GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005515	protein binding	4984	2282	1869.83	1.6e-14
2	GO:0032550	purine ribonucleoside binding	2382	1020	893.65	7.4e-09
3	GO:0003735	structural constituent of ribosome	144	87	54.02	1.9e-08
4	GO:0005524	ATP binding	2056	886	771.34	2.2e-08
5	GO:0000166	nucleotide binding	2918	1289	1094.74	2.5e-08
6	GO:0005096	GTPase activator activity	190	105	71.28	4.5e-07
7	GO:0005085	guanyl-nucleotide exchange factor activity	142	82	53.27	7.3e-07
8	GO:0003779	actin binding	321	175	120.43	8.8e-07
9	GO:0051082	unfolded protein binding	55	37	20.63	7.2e-06
10	GO:0009055	electron transfer activity	75	57	28.14	1.4e-05
11	GO:0051219	phosphoprotein binding	34	21	12.76	1.8e-05
12	GO:0042803	protein homodimerization activity	429	202	160.95	2.7e-05
13	GO:0042626	ATPase-coupled transmembrane transporter activity	90	61	33.77	4.0e-05
14	GO:0016887	ATP hydrolysis activity	517	237	193.96	5.3e-05
15	GO:0051015	actin filament binding	67	41	25.14	7.0e-05
16	GO:0008137	NADH dehydrogenase (ubiquinone) activity	18	15	6.75	9.1e-05
17	GO:0031267	small GTPase binding	119	65	44.64	0.00011
18	GO:0019888	protein phosphatase regulator activity	26	14	9.75	0.00015
19	GO:0005215	transporter activity	1369	608	513.6	0.00017
20	GO:0042625	ATPase-coupled ion transmembrane transporter activity	29	22	10.88	0.00028
21	GO:0042802	identical protein binding	666	316	249.86	0.00040
22	GO:0046982	protein heterodimerization activity	218	106	81.79	0.00050
23	GO:0015485	cholesterol binding	20	15	7.5	0.00073
24	GO:0003777	microtubule motor activity	178	88	66.78	0.00090
25	GO:0004095	carnitine O-palmitoyltransferase activity	7	7	2.63	0.00104
26	GO:0004843	cysteine-type deubiquitinase activity	48	29	18.01	0.00106
27	GO:0008237	metallopeptidase activity	347	154	130.18	0.00128
28	GO:0019901	protein kinase binding	311	144	116.68	0.00132
29	GO:0008061	chitin binding	68	38	25.51	0.00156
30	GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity	29	22	10.88	0.00157
31	GO:0005548	phospholipid transporter activity	23	14	8.63	0.00158
32	GO:0019900	kinase binding	336	161	126.06	0.00184
33	GO:0004180	carboxypeptidase activity	53	29	19.88	0.00193
34	GO:0031072	heat shock protein binding	46	27	17.26	0.00212
35	GO:0017056	structural constituent of nuclear pore	14	11	5.25	0.00214
36	GO:0008289	lipid binding	395	180	148.19	0.00223
37	GO:0016303	1-phosphatidylinositol-3-kinase activity	9	8	3.38	0.00235
38	GO:0005198	structural molecule activity	405	217	151.94	0.00277
39	GO:0004144	diacylglycerol O-acyltransferase activity	6	6	2.25	0.00278
40	GO:0031492	nucleosomal DNA binding	6	6	2.25	0.00278
41	GO:0017124	SH3 domain binding	81	43	30.39	0.00305
42	GO:0004715	non-membrane spanning protein tyrosine kinase activity	40	24	15.01	0.00320
43	GO:0097110	scaffold protein binding	20	14	7.5	0.00325
44	GO:0004364	glutathione transferase activity	22	15	8.25	0.00344
45	GO:0020037	heme binding	179	85	67.15	0.00391
46	GO:0005262	calcium channel activity	180	91	67.53	0.00393
47	GO:0005102	signaling receptor binding	622	282	233.35	0.00396
48	GO:0000146	microfilament motor activity	18	14	6.75	0.00453
49	GO:0031625	ubiquitin protein ligase binding	126	62	47.27	0.00475
50	GO:0005516	calmodulin binding	164	78	61.53	0.00526
51	GO:0004129	cytochrome-c oxidase activity	15	11	5.63	0.00529
52	GO:0008307	structural constituent of muscle	15	11	5.63	0.00529
53	GO:0004175	endopeptidase activity	984	328	369.16	0.00563
54	GO:0050699	WW domain binding	31	19	11.63	0.00611
55	GO:0050660	flavin adenine dinucleotide binding	118	58	44.27	0.00628
56	GO:0016805	dipeptidase activity	26	16	9.75	0.00639
57	GO:0032549	ribonucleoside binding	2387	1025	895.52	0.00669
58	GO:0050321	tau-protein kinase activity	5	5	1.88	0.00743
59	GO:0035438	cyclic-di-GMP binding	5	5	1.88	0.00743
60	GO:0061507	2',3'-cyclic GMP-AMP binding	5	5	1.88	0.00743
61	GO:0016874	ligase activity	619	278	232.23	0.00744
62	GO:0008199	ferric iron binding	10	8	3.75	0.00786
63	GO:0003682	chromatin binding	306	139	114.8	0.00817
64	GO:0002020	protease binding	38	22	14.26	0.00844
65	GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	12	9	4.5	0.00947
66	GO:0070628	proteasome binding	12	9	4.5	0.00947
67	GO:0008093	cytoskeletal anchor activity	12	9	4.5	0.00947
68	GO:0004622	lysophospholipase activity	12	9	4.5	0.00947
69	GO:0005200	structural constituent of cytoskeleton	58	31	21.76	0.00966
70	GO:0042277	peptide binding	136	60	51.02	0.01021
71	GO:0019899	enzyme binding	839	410	314.77	0.01024
72	GO:0015035	protein-disulfide reductase activity	35	20	13.13	0.01025
73	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	28	17	10.5	0.01066
74	GO:0030544	Hsp70 protein binding	18	12	6.75	0.01154
75	GO:0042813	Wnt receptor activity	20	13	7.5	0.01163
76	GO:0005506	iron ion binding	243	112	91.17	0.01251
77	GO:0051427	hormone receptor binding	43	24	16.13	0.01258
78	GO:0004252	serine-type endopeptidase activity	232	104	87.04	0.01296
79	GO:0050811	GABA receptor binding	7	6	2.63	0.01323
80	GO:0016934	extracellularly glycine-gated chloride channel activity	7	6	2.63	0.01323
81	GO:0003810	protein-glutamine gamma-glutamyltransferase activity	7	6	2.63	0.01323
82	GO:0003700	DNA-binding transcription factor activity	539	225	202.22	0.01454
83	GO:0060089	molecular transducer activity	1345	486	504.6	0.01522
84	GO:0015464	acetylcholine receptor activity	33	19	12.38	0.01597
85	GO:0005164	tumor necrosis factor receptor binding	31	18	11.63	0.01597
86	GO:0003727	single-stranded RNA binding	46	28	17.26	0.01675
87	GO:0008191	metalloendopeptidase inhibitor activity	9	7	3.38	0.01704
88	GO:0004386	helicase activity	373	124	139.94	0.01875
89	GO:0003743	translation initiation factor activity	58	30	21.76	0.01897
90	GO:0003958	NADPH-hemoprotein reductase activity	4	4	1.5	0.01980
91	GO:0003796	lysozyme activity	4	4	1.5	0.01980
92	GO:0004859	phospholipase inhibitor activity	4	4	1.5	0.01980
93	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	4	4	1.5	0.01980
94	GO:0004677	DNA-dependent protein kinase activity	4	4	1.5	0.01980
95	GO:0010997	anaphase-promoting complex binding	4	4	1.5	0.01980
96	GO:0015631	tubulin binding	179	86	67.15	0.02037
97	GO:0004623	phospholipase A2 activity	25	14	9.38	0.02106
98	GO:0005158	insulin receptor binding	17	11	6.38	0.02106
