GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006629	lipid metabolic process	953	174	105.46	1.4e-05
2	GO:0010634	positive regulation of epithelial cell migration	72	17	7.97	2.4e-05
3	GO:0010718	positive regulation of epithelial to mesenchymal transition	25	11	2.77	3.0e-05
4	GO:0006536	glutamate metabolic process	24	12	2.66	3.6e-05
5	GO:0008152	metabolic process	13001	1421	1438.7	4.0e-05
6	GO:0030277	maintenance of gastrointestinal epithelium	12	7	1.33	4.2e-05
7	GO:0055085	transmembrane transport	1343	184	148.62	8.3e-05
8	GO:0042438	melanin biosynthetic process	16	8	1.77	0.00013
9	GO:1902358	sulfate transmembrane transport	4	4	0.44	0.00015
10	GO:0006730	one-carbon metabolic process	30	13	3.32	0.00020
11	GO:0001676	long-chain fatty acid metabolic process	50	14	5.53	0.00021
12	GO:0010770	positive regulation of cell morphogenesis	51	15	5.64	0.00022
13	GO:0048769	sarcomerogenesis	7	5	0.77	0.00029
14	GO:0043691	reverse cholesterol transport	7	5	0.77	0.00029
15	GO:0045669	positive regulation of osteoblast differentiation	63	17	6.97	0.00036
16	GO:0071492	cellular response to UV-A	5	4	0.55	0.00068
17	GO:0030240	skeletal muscle thin filament assembly	8	5	0.89	0.00069
18	GO:0042327	positive regulation of phosphorylation	458	60	50.68	0.00093
19	GO:0043171	peptide catabolic process	26	8	2.88	0.00093
20	GO:0006518	peptide metabolic process	574	75	63.52	0.00117
21	GO:0016266	O-glycan processing	21	8	2.32	0.00120
22	GO:0018108	peptidyl-tyrosine phosphorylation	269	45	29.77	0.00129
23	GO:0042632	cholesterol homeostasis	31	10	3.43	0.00134
24	GO:0034375	high-density lipoprotein particle remodeling	3	3	0.33	0.00135
25	GO:0019376	galactolipid catabolic process	3	3	0.33	0.00135
26	GO:0033344	cholesterol efflux	22	8	2.43	0.00141
27	GO:0090084	negative regulation of inclusion body assembly	9	5	1	0.00142
28	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	21	6	2.32	0.00142
29	GO:0003300	cardiac muscle hypertrophy	21	8	2.32	0.00186
30	GO:0043056	forward locomotion	6	4	0.66	0.00187
31	GO:0046449	creatinine metabolic process	6	4	0.66	0.00187
32	GO:0035995	detection of muscle stretch	6	4	0.66	0.00187
33	GO:0006898	receptor-mediated endocytosis	253	40	28	0.00187
34	GO:0071103	DNA conformation change	259	23	28.66	0.00199
35	GO:0006749	glutathione metabolic process	36	12	3.98	0.00210
36	GO:0071493	cellular response to UV-B	10	5	1.11	0.00258
37	GO:0030241	skeletal muscle myosin thick filament assembly	10	5	1.11	0.00258
38	GO:0002221	pattern recognition receptor signaling pathway	74	11	8.19	0.00258
39	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	45	12	4.98	0.00287
40	GO:0031290	retinal ganglion cell axon guidance	29	9	3.21	0.00311
41	GO:0030199	collagen fibril organization	40	11	4.43	0.00327
42	GO:0001666	response to hypoxia	125	24	13.83	0.00372
43	GO:0006097	glyoxylate cycle	7	4	0.77	0.00397
44	GO:0030049	muscle filament sliding	7	4	0.77	0.00397
45	GO:0008652	amino acid biosynthetic process	158	40	17.48	0.00397
46	GO:0001921	positive regulation of receptor recycling	11	5	1.22	0.00430
47	GO:0006559	L-phenylalanine catabolic process	11	5	1.22	0.00430
48	GO:0000003	reproduction	782	113	86.54	0.00479
49	GO:0034389	lipid droplet organization	4	3	0.44	0.00496
50	GO:0042264	peptidyl-aspartic acid hydroxylation	4	3	0.44	0.00496
51	GO:0006543	glutamine catabolic process	4	3	0.44	0.00496
52	GO:0006659	phosphatidylserine biosynthetic process	4	3	0.44	0.00496
53	GO:0009838	abscission	4	3	0.44	0.00496
54	GO:0070409	carbamoyl phosphate biosynthetic process	4	3	0.44	0.00496
55	GO:0033211	adiponectin-activated signaling pathway	4	3	0.44	0.00496
56	GO:2000026	regulation of multicellular organismal development	873	123	96.61	0.00528
57	GO:0032879	regulation of localization	1081	138	119.62	0.00544
58	GO:0007512	adult heart development	16	6	1.77	0.00547
59	GO:0031638	zymogen activation	93	20	10.29	0.00567
60	GO:0006820	monoatomic anion transport	343	51	37.96	0.00584
61	GO:0060048	cardiac muscle contraction	42	10	4.65	0.00668
62	GO:0032367	intracellular cholesterol transport	21	7	2.32	0.00669
63	GO:0045329	carnitine biosynthetic process	12	5	1.33	0.00670
64	GO:0090399	replicative senescence	12	5	1.33	0.00670
65	GO:0006955	immune response	499	62	55.22	0.00708
66	GO:0038083	peptidyl-tyrosine autophosphorylation	8	4	0.89	0.00725
67	GO:0006751	glutathione catabolic process	8	4	0.89	0.00725
68	GO:0006646	phosphatidylethanolamine biosynthetic process	8	4	0.89	0.00725
69	GO:0019432	triglyceride biosynthetic process	27	8	2.99	0.00765
70	GO:0006694	steroid biosynthetic process	126	26	13.94	0.00825
71	GO:0034220	monoatomic ion transmembrane transport	833	99	92.18	0.00826
72	GO:0030278	regulation of ossification	122	26	13.5	0.00830
73	GO:0032092	positive regulation of protein binding	64	12	7.08	0.00845
74	GO:0009306	protein secretion	171	26	18.92	0.00989
75	GO:0090177	establishment of planar polarity involved in neural tube closure	41	9	4.54	0.00989
76	GO:0019344	cysteine biosynthetic process	16	6	1.77	0.00989
77	GO:0043932	ossification involved in bone remodeling	13	5	1.44	0.00991
78	GO:0070374	positive regulation of ERK1 and ERK2 cascade	65	14	7.19	0.01053
79	GO:0006259	DNA metabolic process	2747	147	303.99	0.01061
80	GO:1901615	organic hydroxy compound metabolic process	434	83	48.03	0.01088
81	GO:0003333	amino acid transmembrane transport	51	11	5.64	0.01128
82	GO:0019395	fatty acid oxidation	53	12	5.87	0.01133
83	GO:0009437	carnitine metabolic process	17	8	1.88	0.01133
84	GO:0006269	DNA replication, synthesis of RNA primer	5	3	0.55	0.01139
85	GO:0046655	folic acid metabolic process	5	3	0.55	0.01139
86	GO:0032000	positive regulation of fatty acid beta-oxidation	5	3	0.55	0.01139
87	GO:0021837	motogenic signaling involved in postnatal olfactory bulb interneuron migration	5	3	0.55	0.01139
88	GO:0000085	mitotic G2 phase	5	3	0.55	0.01139
