GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005576	extracellular region	2497	409	297.13	2.7e-08
2	GO:0005789	endoplasmic reticulum membrane	612	110	72.82	1.8e-05
3	GO:0070062	extracellular exosome	640	111	76.16	2.4e-05
4	GO:0098588	bounding membrane of organelle	1764	268	209.9	2.7e-05
5	GO:0031012	extracellular matrix	604	97	71.87	4.7e-05
6	GO:0005741	mitochondrial outer membrane	96	25	11.42	0.00011
7	GO:0005764	lysosome	435	71	51.76	0.00018
8	GO:0005581	collagen trimer	187	39	22.25	0.00024
9	GO:0005796	Golgi lumen	44	13	5.24	0.00136
10	GO:0070852	cell body fiber	6	4	0.71	0.00246
11	GO:0042470	melanosome	76	18	9.04	0.00341
12	GO:0042589	zymogen granule membrane	38	11	4.52	0.00372
13	GO:0005788	endoplasmic reticulum lumen	145	30	17.25	0.00494
14	GO:0005811	lipid droplet	29	9	3.45	0.00509
15	GO:0044306	neuron projection terminus	70	9	8.33	0.00522
16	GO:0005615	extracellular space	1131	187	134.58	0.00549
17	GO:0097233	alveolar lamellar body membrane	4	3	0.48	0.00613
18	GO:0042555	MCM complex	16	6	1.9	0.00782
19	GO:0005892	acetylcholine-gated channel complex	37	10	4.4	0.00939
20	GO:0032433	filopodium tip	5	3	0.59	0.01397
21	GO:1990077	primosome complex	2	2	0.24	0.01415
22	GO:0030895	apolipoprotein B mRNA editing enzyme complex	2	2	0.24	0.01415
23	GO:0016020	membrane	7010	910	834.14	0.01431
24	GO:0031931	TORC1 complex	9	4	1.07	0.01536
25	GO:0009897	external side of plasma membrane	80	16	9.52	0.02494
26	GO:0030127	COPII vesicle coat	6	3	0.71	0.02548
27	GO:0005777	peroxisome	120	24	14.28	0.02707
28	GO:0030659	cytoplasmic vesicle membrane	584	82	69.49	0.02827
29	GO:0097225	sperm midpiece	11	4	1.31	0.03313
30	GO:0005635	nuclear envelope	314	35	37.36	0.03740
31	GO:0002177	manchette	3	2	0.36	0.03909
32	GO:0030868	smooth endoplasmic reticulum membrane	3	2	0.36	0.03909
33	GO:0005658	alpha DNA polymerase:primase complex	3	2	0.36	0.03909
34	GO:0000794	condensed nuclear chromosome	34	7	4.05	0.04312
35	GO:0001527	microfibril	23	6	2.74	0.04780
36	GO:0016010	dystrophin-associated glycoprotein complex	19	5	2.26	0.05919
37	GO:0034703	cation channel complex	173	12	20.59	0.06029
38	GO:0043190	ATP-binding cassette (ABC) transporter complex	4	2	0.48	0.07206
39	GO:0005697	telomerase holoenzyme complex	4	2	0.48	0.07206
40	GO:0016938	kinesin I complex	4	2	0.48	0.07206
41	GO:0042151	nematocyst	71	13	8.45	0.07417
42	GO:0005721	pericentric heterochromatin	14	4	1.67	0.07536
43	GO:0005790	smooth endoplasmic reticulum	12	5	1.43	0.08135
44	GO:0033018	sarcoplasmic reticulum lumen	9	3	1.07	0.08152
45	GO:0035003	subapical complex	9	3	1.07	0.08152
46	GO:0005886	plasma membrane	3188	397	379.35	0.08298
47	GO:0005778	peroxisomal membrane	39	8	4.64	0.08498
48	GO:0005929	cilium	426	61	50.69	0.08974
49	GO:0016323	basolateral plasma membrane	117	19	13.92	0.09829
50	GO:0005868	cytoplasmic dynein complex	47	9	5.59	0.09969
51	GO:0042383	sarcolemma	87	15	10.35	0.10339
52	GO:0036157	outer dynein arm	5	2	0.59	0.11078
53	GO:0030121	AP-1 adaptor complex	5	2	0.59	0.11078
54	GO:0097149	centralspindlin complex	5	2	0.59	0.11078
55	GO:0031526	brush border membrane	55	10	6.54	0.11231
56	GO:0035838	growing cell tip	2	2	0.24	0.11894
57	GO:0071782	endoplasmic reticulum tubular network	5	2	0.59	0.11896
58	GO:0090543	Flemming body	1	1	0.12	0.11899
59	GO:0034666	integrin alpha2-beta1 complex	1	1	0.12	0.11899
60	GO:0001739	sex chromatin	1	1	0.12	0.11899
61	GO:0044322	endoplasmic reticulum quality control compartment	1	1	0.12	0.11899
62	GO:0005895	interleukin-5 receptor complex	1	1	0.12	0.11899
63	GO:0035841	new growing cell tip	1	1	0.12	0.11899
64	GO:0005642	annulate lamellae	1	1	0.12	0.11899
65	GO:0016222	procollagen-proline 4-dioxygenase complex	1	1	0.12	0.11899
66	GO:0042600	egg chorion	1	1	0.12	0.11899
67	GO:0005638	lamin filament	1	1	0.12	0.11899
68	GO:0035985	senescence-associated heterochromatin focus	1	1	0.12	0.11899
69	GO:0031213	RSF complex	1	1	0.12	0.11899
70	GO:0044231	host cell presynaptic membrane	1	1	0.12	0.11899
71	GO:0005971	ribonucleoside-diphosphate reductase complex	1	1	0.12	0.11899
72	GO:0031205	endoplasmic reticulum Sec complex	1	1	0.12	0.11899
73	GO:0045095	keratin filament	1	1	0.12	0.11899
74	GO:0045098	type III intermediate filament	1	1	0.12	0.11899
75	GO:0042564	NLS-dependent protein nuclear import complex	1	1	0.12	0.11899
76	GO:0030061	mitochondrial crista	1	1	0.12	0.11899
77	GO:0035770	ribonucleoprotein granule	144	17	17.13	0.11905
78	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	43	7	5.12	0.12993
79	GO:0031902	late endosome membrane	78	13	9.28	0.13119
80	GO:0044218	other organism cell membrane	43	8	5.12	0.13216
81	GO:0012507	ER to Golgi transport vesicle membrane	17	6	2.02	0.13366
82	GO:0033391	chromatoid body	11	3	1.31	0.13401
83	GO:0030496	midbody	201	30	23.92	0.15037
84	GO:0043235	receptor complex	215	37	25.58	0.15113
85	GO:0030122	AP-2 adaptor complex	6	2	0.71	0.15343
86	GO:0033093	Weibel-Palade body	6	2	0.71	0.15343
87	GO:0030424	axon	360	43	42.84	0.16263
88	GO:0010494	cytoplasmic stress granule	12	3	1.43	0.16364
89	GO:0000421	autophagosome membrane	12	3	1.43	0.16364
90	GO:0031083	BLOC-1 complex	12	3	1.43	0.16364
91	GO:0030054	cell junction	1010	102	120.18	0.17838
92	GO:0031528	microvillus membrane	19	4	2.26	0.18262
93	GO:0030670	phagocytic vesicle membrane	26	5	3.09	0.19010
94	GO:0009898	cytoplasmic side of plasma membrane	64	9	7.62	0.19229
95	GO:0005882	intermediate filament	24	8	2.86	0.19421
96	GO:0002199	zona pellucida receptor complex	7	2	0.83	0.19853
97	GO:0005640	nuclear outer membrane	7	2	0.83	0.19853
98	GO:0000813	ESCRT I complex	7	2	0.83	0.19853
99	GO:0005832	chaperonin-containing T-complex	7	2	0.83	0.19853
100	GO:0005858	axonemal dynein complex	39	8	4.64	0.21134
101	GO:0005874	microtubule	367	48	43.67	0.21696
102	GO:0016459	myosin complex	49	8	5.83	0.22243
103	GO:0042599	lamellar body	6	4	0.71	0.22356
104	GO:0097386	glial cell projection	6	2	0.71	0.22378
105	GO:0097440	apical dendrite	2	1	0.24	0.22383
106	GO:0033186	CAF-1 complex	2	1	0.24	0.22383
107	GO:0001534	radial spoke	2	1	0.24	0.22383
108	GO:0061574	ASAP complex	2	1	0.24	0.22383
109	GO:0036117	hyaluranon cable	2	1	0.24	0.22383
110	GO:0034663	endoplasmic reticulum chaperone complex	2	1	0.24	0.22383
111	GO:0017109	glutamate-cysteine ligase complex	2	1	0.24	0.22383
112	GO:0030893	meiotic cohesin complex	2	1	0.24	0.22383
