GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005506	iron ion binding	243	56	25.79	8.6e-09
2	GO:0070330	aromatase activity	23	12	2.44	8.7e-07
3	GO:0020037	heme binding	179	40	19	3.8e-06
4	GO:0030197	extracellular matrix constituent, lubricant activity	9	7	0.96	4.5e-06
5	GO:0042803	protein homodimerization activity	429	73	45.53	3.1e-05
6	GO:0005509	calcium ion binding	1100	156	116.74	8.3e-05
7	GO:0005176	ErbB-2 class receptor binding	9	6	0.96	9.0e-05
8	GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	29	11	3.08	0.00011
9	GO:0008271	secondary active sulfate transmembrane transporter activity	4	4	0.42	0.00013
10	GO:0004806	triglyceride lipase activity	33	13	3.5	0.00021
11	GO:0004095	carnitine O-palmitoyltransferase activity	7	5	0.74	0.00023
12	GO:0004222	metalloendopeptidase activity	234	43	24.83	0.00024
13	GO:0008324	monoatomic cation transmembrane transporter activity	705	82	74.82	0.00039
14	GO:0051082	unfolded protein binding	55	15	5.84	0.00045
15	GO:0097493	structural molecule activity conferring elasticity	8	5	0.85	0.00057
16	GO:0008061	chitin binding	68	17	7.22	0.00058
17	GO:0004467	long-chain fatty acid-CoA ligase activity	12	6	1.27	0.00074
18	GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	17	7	1.8	0.00111
19	GO:0008239	dipeptidyl-peptidase activity	9	5	0.96	0.00117
20	GO:0004503	tyrosinase activity	9	5	0.96	0.00117
21	GO:0008190	eukaryotic initiation factor 4E binding	3	3	0.32	0.00119
22	GO:0047714	galactolipase activity	3	3	0.32	0.00119
23	GO:0004364	glutathione transferase activity	22	8	2.33	0.00129
24	GO:0031433	telethonin binding	6	4	0.64	0.00159
25	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	33	10	3.5	0.00165
26	GO:0004508	steroid 17-alpha-monooxygenase activity	33	10	3.5	0.00165
27	GO:0030544	Hsp70 protein binding	18	7	1.91	0.00166
28	GO:0008509	monoatomic anion transmembrane transporter activity	204	31	21.65	0.00245
29	GO:0003990	acetylcholinesterase activity	15	6	1.59	0.00304
30	GO:0004180	carboxypeptidase activity	53	9	5.62	0.00329
31	GO:0031404	chloride ion binding	7	4	0.74	0.00340
32	GO:0015279	store-operated calcium channel activity	11	5	1.17	0.00357
33	GO:0005044	scavenger receptor activity	127	24	13.48	0.00359
34	GO:0015276	ligand-gated monoatomic ion channel activity	230	24	24.41	0.00361
35	GO:0015464	acetylcholine receptor activity	33	10	3.5	0.00385
36	GO:0070628	proteasome binding	12	5	1.27	0.00559
37	GO:0050839	cell adhesion molecule binding	150	20	15.92	0.00633
38	GO:0042166	acetylcholine binding	28	8	2.97	0.00705
39	GO:0005201	extracellular matrix structural constituent	80	22	8.49	0.00717
40	GO:0008237	metallopeptidase activity	347	60	36.83	0.00739
41	GO:0004792	thiosulfate sulfurtransferase activity	5	3	0.53	0.01012
42	GO:0050353	trimethyllysine dioxygenase activity	5	3	0.53	0.01012
43	GO:0034186	apolipoprotein A-I binding	5	3	0.53	0.01012
44	GO:0004345	glucose-6-phosphate dehydrogenase activity	5	3	0.53	0.01012
45	GO:0035438	cyclic-di-GMP binding	5	3	0.53	0.01012
46	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	5	3	0.53	0.01012
47	GO:0050649	testosterone 6-beta-hydroxylase activity	5	3	0.53	0.01012
48	GO:0003896	DNA primase activity	5	3	0.53	0.01012
49	GO:0008843	endochitinase activity	5	3	0.53	0.01012
50	GO:0061507	2',3'-cyclic GMP-AMP binding	5	3	0.53	0.01012
51	GO:0038187	pattern recognition receptor activity	11	6	1.17	0.01024
52	GO:0051371	muscle alpha-actinin binding	9	4	0.96	0.01027
53	GO:0008801	beta-phosphoglucomutase activity	2	2	0.21	0.01126
54	GO:0019864	IgG binding	2	2	0.21	0.01126
55	GO:0050313	sulfur dioxygenase activity	2	2	0.21	0.01126
56	GO:0030882	lipid antigen binding	2	2	0.21	0.01126
57	GO:0004465	lipoprotein lipase activity	2	2	0.21	0.01126
58	GO:0004451	isocitrate lyase activity	2	2	0.21	0.01126
59	GO:0004555	alpha,alpha-trehalase activity	2	2	0.21	0.01126
60	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	2	2	0.21	0.01126
61	GO:0015574	trehalose transmembrane transporter activity	2	2	0.21	0.01126
62	GO:0004657	proline dehydrogenase activity	2	2	0.21	0.01126
63	GO:0003721	telomerase RNA reverse transcriptase activity	2	2	0.21	0.01126
64	GO:0008892	guanine deaminase activity	2	2	0.21	0.01126
65	GO:0015151	alpha-glucoside transmembrane transporter activity	2	2	0.21	0.01126
66	GO:0047865	dimethylglycine dehydrogenase activity	2	2	0.21	0.01126
67	GO:0015108	chloride transmembrane transporter activity	81	8	8.6	0.01129
68	GO:0015631	tubulin binding	179	18	19	0.01151
69	GO:0005507	copper ion binding	147	25	15.6	0.01182
70	GO:0001540	amyloid-beta binding	31	8	3.29	0.01344
71	GO:0015485	cholesterol binding	20	6	2.12	0.01482
72	GO:0008307	structural constituent of muscle	15	5	1.59	0.01618
73	GO:0016755	aminoacyltransferase activity	544	48	57.73	0.01663
74	GO:0016491	oxidoreductase activity	1021	192	108.36	0.01739
75	GO:0003973	(S)-2-hydroxy-acid oxidase activity	6	3	0.64	0.01865
76	GO:0042834	peptidoglycan binding	6	3	0.64	0.01865
77	GO:0008660	1-aminocyclopropane-1-carboxylate deaminase activity	6	3	0.64	0.01865
78	GO:0004090	carbonyl reductase (NADPH) activity	6	3	0.64	0.01865
79	GO:0050129	N-formylglutamate deformylase activity	6	3	0.64	0.01865
80	GO:0016805	dipeptidase activity	26	8	2.76	0.01886
81	GO:0004252	serine-type endopeptidase activity	232	35	24.62	0.02074
82	GO:0036374	glutathione hydrolase activity	11	4	1.17	0.02263
83	GO:0005007	fibroblast growth factor receptor activity	47	10	4.99	0.02356
84	GO:0051879	Hsp90 protein binding	17	5	1.8	0.02788
85	GO:0008378	galactosyltransferase activity	46	9	4.88	0.02928
86	GO:0008158	hedgehog receptor activity	23	6	2.44	0.02932
87	GO:0016597	amino acid binding	113	21	11.99	0.02971
88	GO:0004620	phospholipase activity	64	10	6.79	0.03005
89	GO:0005528	FK506 binding	7	3	0.74	0.03009
90	GO:0003810	protein-glutamine gamma-glutamyltransferase activity	7	3	0.74	0.03009
91	GO:0004566	beta-glucuronidase activity	7	3	0.74	0.03009
92	GO:0004047	aminomethyltransferase activity	7	3	0.74	0.03009
93	GO:0016787	hydrolase activity	3821	422	405.51	0.03068
94	GO:0008519	ammonium transmembrane transporter activity	12	4	1.27	0.03116
95	GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	7	4	0.74	0.03134
96	GO:0016802	trialkylsulfonium hydrolase activity	3	2	0.32	0.03139
97	GO:0070891	lipoteichoic acid binding	3	2	0.32	0.03139
98	GO:0036140	[protein]-asparagine 3-dioxygenase activity	3	2	0.32	0.03139
99	GO:0003934	GTP cyclohydrolase I activity	3	2	0.32	0.03139
100	GO:0036139	peptidyl-histidine dioxygenase activity	3	2	0.32	0.03139
101	GO:0047021	15-hydroxyprostaglandin dehydrogenase (NADP+) activity	3	2	0.32	0.03139
102	GO:0004353	glutamate dehydrogenase [NAD(P)+] activity	3	2	0.32	0.03139
103	GO:0070034	telomerase RNA binding	3	2	0.32	0.03139
104	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity	3	2	0.32	0.03139
105	GO:0042608	T cell receptor binding	3	2	0.32	0.03139
106	GO:0004510	tryptophan 5-monooxygenase activity	3	2	0.32	0.03139
107	GO:0017159	pantetheine hydrolase activity	3	2	0.32	0.03139
108	GO:0048027	mRNA 5'-UTR binding	3	2	0.32	0.03139
109	GO:0004505	phenylalanine 4-monooxygenase activity	3	2	0.32	0.03139
110	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	3	2	0.32	0.03139
111	GO:0004070	aspartate carbamoyltransferase activity	3	2	0.32	0.03139
112	GO:0004151	dihydroorotase activity	3	2	0.32	0.03139
113	GO:0004013	adenosylhomocysteinase activity	3	2	0.32	0.03139
114	GO:0050221	prostaglandin-E2 9-reductase activity	3	2	0.32	0.03139
115	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	99	15	10.51	0.03525
116	GO:0015103	inorganic anion transmembrane transporter activity	104	15	11.04	0.04122
117	GO:0070679	inositol 1,4,5 trisphosphate binding	13	4	1.38	0.04131
118	GO:0016798	hydrolase activity, acting on glycosyl bonds	177	32	18.78	0.04376
119	GO:0050660	flavin adenine dinucleotide binding	118	20	12.52	0.04430
120	GO:0050750	low-density lipoprotein particle receptor binding	8	3	0.85	0.04440
121	GO:0047372	acylglycerol lipase activity	8	3	0.85	0.04440
122	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	27	4	2.87	0.04446
123	GO:0000166	nucleotide binding	2918	353	309.68	0.04469
124	GO:0005261	monoatomic cation channel activity	478	49	50.73	0.05006
125	GO:0016595	glutamate binding	14	4	1.49	0.05312
126	GO:0042043	neurexin family protein binding	14	4	1.49	0.05312
127	GO:0008301	DNA binding, bending	14	4	1.49	0.05312
128	GO:0004715	non-membrane spanning protein tyrosine kinase activity	40	8	4.25	0.05605
129	GO:0003682	chromatin binding	306	43	32.48	0.05799
130	GO:0032451	demethylase activity	31	5	3.29	0.05837
131	GO:0031402	sodium ion binding	4	2	0.42	0.05838
132	GO:0036132	13-prostaglandin reductase activity	4	2	0.42	0.05838
